ip_address,status,mqtt
27.50.16.245,,gagal
27.50.16.246,,gagal
27.50.16.247,,gagal
27.50.16.248,,gagal
27.50.16.249,,gagal
27.50.16.250,,gagal
27.50.16.251,,gagal
27.50.16.252,,gagal
27.50.16.253,,gagal
27.50.16.254,,gagal
27.50.16.255,,gagal
27.50.17.0,,gagal
27.50.17.1,,gagal
27.50.17.2,,gagal
27.50.17.3,,gagal
27.50.17.4,,gagal
27.50.17.5,,gagal
27.50.17.6,,gagal
27.50.17.7,,gagal
27.50.17.8,,gagal
27.50.17.9,,gagal
27.50.17.10,,gagal
27.50.17.11,,gagal
27.50.17.12,,gagal
27.50.17.13,,gagal
27.50.17.14,,gagal
27.50.17.15,,gagal
27.50.17.16,,gagal
27.50.17.17,,gagal
27.50.17.18,,gagal
27.50.17.19,,gagal
27.50.17.20,,gagal
27.50.17.21,,gagal
27.50.17.22,,gagal
27.50.17.23,,gagal
27.50.17.24,,gagal
27.50.17.25,,gagal
27.50.17.26,,gagal
27.50.17.27,,gagal
27.50.17.28,,gagal
27.50.17.29,,gagal
27.50.17.30,,gagal
27.50.17.31,,gagal
27.50.17.32,,gagal
27.50.17.33,,gagal
27.50.17.34,,gagal
27.50.17.35,,gagal
27.50.17.36,,gagal
27.50.17.37,,gagal
27.50.17.38,,gagal
27.50.17.39,,gagal
27.50.17.40,,gagal
27.50.17.41,,gagal
27.50.17.42,,gagal
27.50.17.43,,gagal
27.50.17.44,,gagal
27.50.17.45,,gagal
27.50.17.46,,gagal
27.50.17.47,,gagal
27.50.17.48,,gagal
27.50.17.49,,gagal
27.50.17.50,,gagal
27.50.17.51,,gagal
27.50.17.52,,gagal
27.50.17.53,,gagal
27.50.17.54,,gagal
27.50.17.55,,gagal
27.50.17.56,,gagal
27.50.17.57,,gagal
27.50.17.58,,gagal
27.50.17.59,,gagal
27.50.17.60,,gagal
27.50.17.61,,gagal
27.50.17.62,,gagal
27.50.17.63,,gagal
27.50.17.64,,gagal
27.50.17.65,,gagal
27.50.17.66,,gagal
27.50.17.67,,gagal
27.50.17.68,,gagal
27.50.17.69,,gagal
27.50.17.70,,gagal
27.50.17.71,,gagal
27.50.17.72,,gagal
27.50.17.73,,gagal
27.50.17.74,,gagal
27.50.17.75,,gagal
27.50.17.76,,gagal
27.50.17.77,,gagal
27.50.17.78,,gagal
27.50.17.79,,gagal
27.50.17.80,,gagal
27.50.17.81,,gagal
27.50.17.82,,gagal
27.50.17.83,,gagal
27.50.17.84,,gagal
27.50.17.85,,gagal
27.50.17.86,,gagal
27.50.17.87,,gagal
27.50.17.88,,gagal
27.50.17.89,,gagal
27.50.17.90,,gagal
27.50.17.91,,gagal
27.50.17.92,,gagal
27.50.17.93,,gagal
27.50.17.94,,gagal
27.50.17.95,,gagal
27.50.17.96,,gagal
27.50.17.97,,gagal
27.50.17.98,,gagal
27.50.17.99,,gagal
27.50.17.100,,gagal
27.50.17.101,,gagal
27.50.17.102,,gagal
27.50.17.103,,gagal
27.50.17.104,,gagal
27.50.17.105,,gagal
27.50.17.106,,gagal
27.50.17.107,,gagal
27.50.17.108,,gagal
27.50.17.109,,gagal
27.50.17.110,,gagal
27.50.17.111,,gagal
27.50.17.112,,gagal
27.50.17.113,,gagal
27.50.17.114,,gagal
27.50.17.115,,gagal
27.50.17.116,,gagal
27.50.17.117,,gagal
27.50.17.118,,gagal
27.50.17.119,,gagal
27.50.17.120,,gagal
27.50.17.121,,gagal
27.50.17.122,,gagal
27.50.17.123,,gagal
27.50.17.124,,gagal
27.50.17.125,,gagal
27.50.17.126,,gagal
27.50.17.127,,gagal
27.50.17.128,,gagal
27.50.17.129,,gagal
27.50.17.130,,gagal
27.50.17.131,,gagal
27.50.17.132,,gagal
27.50.17.133,,gagal
27.50.17.134,,gagal
27.50.17.135,,gagal
27.50.17.136,,gagal
27.50.17.137,,gagal
27.50.17.138,,gagal
27.50.17.139,,gagal
27.50.17.140,,gagal
27.50.17.141,,gagal
27.50.17.142,,gagal
27.50.17.143,,gagal
27.50.17.144,,gagal
27.50.17.145,,gagal
27.50.17.146,,gagal
27.50.17.147,,gagal
27.50.17.148,,gagal
27.50.17.149,,gagal
27.50.17.150,,gagal
27.50.17.151,,gagal
27.50.17.152,,gagal
27.50.17.153,,gagal
27.50.17.154,,gagal
27.50.17.155,,gagal
27.50.17.156,,gagal
27.50.17.157,,gagal
27.50.17.158,,gagal
27.50.17.159,,gagal
27.50.17.160,,gagal
27.50.17.161,,gagal
27.50.17.162,,gagal
27.50.17.163,,gagal
27.50.17.164,,gagal
27.50.17.165,,gagal
27.50.17.166,,gagal
27.50.17.167,,gagal
27.50.17.168,,gagal
27.50.17.169,,gagal
27.50.17.170,,gagal
27.50.17.171,,gagal
27.50.17.172,,gagal
27.50.17.173,,gagal
27.50.17.174,,gagal
27.50.17.175,,gagal
27.50.17.176,,gagal
27.50.17.177,,gagal
27.50.17.178,,gagal
27.50.17.179,,gagal
27.50.17.180,,gagal
27.50.17.181,,gagal
27.50.17.182,,gagal
27.50.17.183,,gagal
27.50.17.184,,gagal
27.50.17.185,,gagal
27.50.17.186,,gagal
27.50.17.187,,gagal
27.50.17.188,,gagal
27.50.17.189,,gagal
27.50.17.190,,gagal
27.50.17.191,,gagal
27.50.17.192,,gagal
27.50.17.193,,gagal
27.50.17.194,,gagal
27.50.17.195,,gagal
27.50.17.196,,gagal
27.50.17.197,,gagal
27.50.17.198,,gagal
27.50.17.199,,gagal
27.50.17.200,,gagal
27.50.17.201,,gagal
27.50.17.202,,gagal
27.50.17.203,,gagal
27.50.17.204,,gagal
27.50.17.205,,gagal
27.50.17.206,,gagal
27.50.17.207,,gagal
27.50.17.208,,gagal
27.50.17.209,,gagal
27.50.17.210,,gagal
27.50.17.211,,gagal
27.50.17.212,,gagal
27.50.17.213,,gagal
27.50.17.214,,gagal
27.50.17.215,,gagal
27.50.17.216,,gagal
27.50.17.217,,gagal
27.50.17.218,,gagal
27.50.17.219,,gagal
27.50.17.220,,gagal
27.50.17.221,,gagal
27.50.17.222,,gagal
27.50.17.223,,gagal
27.50.17.224,,gagal
27.50.17.225,,gagal
27.50.17.226,,gagal
27.50.17.227,,gagal
27.50.17.228,,gagal
27.50.17.229,,gagal
27.50.17.230,,gagal
27.50.17.231,,gagal
27.50.17.232,,gagal
27.50.17.233,,gagal
27.50.17.234,,gagal
27.50.17.235,,gagal
27.50.17.236,,gagal
27.50.17.237,,gagal
27.50.17.238,,gagal
27.50.17.239,,gagal
27.50.17.240,,gagal
27.50.17.241,,gagal
27.50.17.242,,gagal
27.50.17.243,,gagal
27.50.17.244,,gagal
27.50.17.245,,gagal
27.50.17.246,,gagal
27.50.17.247,,gagal
27.50.17.248,,gagal
27.50.17.249,,gagal
